name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),suspicious_review,suspicious_1,suspicious_2,suspicious_3,risk_score,risk_category
Chatar Patar,No,No,3.7,65,300,Dining,False,False,False,False,0,Normal
Polar Bear,Yes,No,3.8,71,400,Dining,False,False,False,False,0,Normal
Kidambi's Kitchen,No,No,3.5,52,300,Dining,False,False,False,False,0,Normal
Mane Thindi,No,No,3.7,130,200,Dining,False,False,False,False,0,Normal
Kotian Karavali Restaurant,No,No,3.5,10,300,Dining,False,False,False,False,0,Normal
Floured-Baked With Love,No,No,3.8,45,400,Dining,False,False,False,False,0,Normal
CAFE NOVA,No,No,3.2,11,600,Dining,False,False,False,False,0,Normal
Cakes & Slices,No,No,3.5,13,300,Dining,False,False,False,False,0,Normal
Spice 9,No,No,3.4,8,300,Dining,False,False,False,False,0,Normal
Coffee Shopee,No,No,3.4,0,250,Dining,False,False,False,False,0,Normal
Naveen Kabab & Biriyani Mane,No,No,3.2,9,300,Dining,False,False,False,False,0,Normal
Katriguppe Donne Biryani,No,No,3.2,4,300,Dining,False,False,False,False,0,Normal
Hari Super Sandwich,No,No,3.2,0,200,Dining,False,False,False,False,0,Normal
Atithi Point Ande Ka Funda,No,No,3.1,29,150,Dining,False,False,False,False,0,Normal
Just Bake,No,No,3.4,8,400,Dining,False,False,False,False,0,Normal
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0,150,Dining,False,False,False,False,0,Normal
Cake Bite,No,No,3.4,0,300,Dining,False,False,False,False,0,Normal
Aarush's Food Plaza,No,No,3.4,0,200,Dining,False,False,False,False,0,Normal
Wood Stove,No,No,3.4,0,150,Dining,False,False,False,False,0,Normal
Kulfi & More,No,No,3.4,0,150,Dining,False,False,False,False,0,Normal
Kannadigas Karavali,No,No,3.4,0,250,Dining,False,False,False,False,0,Normal
K27 - The Pub,No,No,3.1,30,900,Dining,False,False,False,False,0,Normal
Bengaluru Coffee House,Yes,No,4.1,201,300,Dining,False,False,False,False,0,Normal
New Mangalore Lunch Home,No,No,3.3,7,200,Dining,False,False,False,False,0,Normal
Coffee Bytes,No,No,3.1,6,100,Dining,False,False,False,False,0,Normal
Parjanya Chat Zone,No,No,3.3,17,200,Dining,False,False,False,False,0,Normal
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,200,Dining,False,False,False,False,0,Normal
Soms Kitchen & Bakes,No,No,2.9,0,400,Dining,False,False,False,False,0,Normal
Banashankari Nati Style,No,No,2.9,0,350,Dining,False,False,False,False,0,Normal
Ruchi Maayaka,No,No,3.3,8,100,Dining,False,False,False,False,0,Normal
Mohitesh Hut Roll,No,No,3.3,0,150,Dining,False,False,False,False,0,Normal
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,150,Dining,False,False,False,False,0,Normal
Roll Magic Fast Food,No,No,3.4,0,200,Dining,False,False,False,False,0,Normal
Foodlieious Multi Cuisine,No,No,3.4,0,100,Dining,False,False,False,False,0,Normal
Thanishka Nati And Karavali Style,No,No,3.1,0,400,Dining,False,False,False,False,0,Normal
Swathi Cool Point,No,No,4.1,0,200,Dining,False,False,False,False,0,Normal
Kaumudis Juoice,No,No,3.3,0,150,Dining,False,False,False,False,0,Normal
Amma - Manae,No,No,3.1,0,400,Dining,False,False,False,False,0,Normal
Sri Sai Tiffannies,No,No,3.3,0,150,Dining,False,False,False,False,0,Normal
Hotel Andhra Speices,No,No,2.9,0,250,Dining,False,False,False,False,0,Normal
Sri Murari Family Restaurant,No,No,2.9,0,250,Dining,False,False,False,False,0,Normal
Aramane Donne Biriyani,No,No,2.9,0,150,Dining,False,False,False,False,0,Normal
Darkolates,No,No,3.3,0,200,Dining,False,False,False,False,0,Normal
Swaada Healthy Kitchen,No,No,3.3,0,350,Dining,False,False,False,False,0,Normal
Gawdaru Mane Beriyani,No,No,3.3,0,300,Dining,False,False,False,False,0,Normal
Melting Melodies,No,No,3.3,0,100,Dining,False,False,False,False,0,Normal
New Indraprasta,No,No,3.3,0,150,Dining,False,False,False,False,0,Normal
Anna Kuteera,Yes,No,4.0,771,450,Dining,False,False,False,False,0,Normal
Darbar,No,No,3.0,98,800,Dining,False,False,False,False,0,Normal
Vijayalakshmi,Yes,No,3.9,47,200,Dining,False,False,False,False,0,Normal
